fact,question,A,B,C,D,commonSense,answer
good bacteria grow on the skin,Which is likely the least helpful for the good bacteria that help your body?,hot showers,eating well,keeping hydrated,using probiotics,"['anti bacteria soap destroys good bacteria', 'showers kill good bacteria']",A
alligators eat fish,Alligators have a,carrot,glasses,scarf,wide nose,"['Alligators have a wide nose.', 'alligators live in marshland']",D
the sun is a source of light called sunlight,which of these is the primary source of light of our planet?,the cluster of Orion stars,the moon which orbits earth,the closest star to us,the meteorites flying by,"['the sun is a source of heat', 'our planet is the only source of nature']",C
wiring requires an electrical conductor,which of these would make a better material for an electronic device component?,a brown copper panel,a string of cotton,a coil of rubber,a strip of plastic,"['copper is an electrical conductor for wiring', 'moving electrons is electricity']",A
if a body of water loses all water then that body of water does not exist any more,"If all the water in the Atlantic ocean evaporated, the Atlantic ocean will",get bigger,become a lake,cease to exist,get smaller,"['oceans are water', 'The Caribbean Sea is part of the Atlantic Ocean']",C
a plane travels through the atmosphere,A plane travels through the air surrounding a,planet,black hole,submarine,cave,"['the atmosphere is the air surrounding the planet Earth', 'heat travels through channels']",A
wildfire is when a forest catches fire,What is most likely to set the woods alight?,lightning bugs,a flood,a storm,hot red peppers,"['if you set fire to the natural gas it will burn', 'dry bushes can catch fire']",C
a glacier is made of ice,Glaciers have,magic,feelings,emotions,"slow, hidden rivers","['glaciers are pillars of ice', 'glacier are giant rivers of ice']",D
electricity is made of moving charged particles,Which requires an outlet?,cold iced tea,usb tape player,frothy beer,blowing leaves,"['outlets provide electricity', 'flashlights charge by being plugged into outlets']",B
a reflector is used to reflect light especially on vehicles,On what product might you find a reflector?,Xbox,Toyota,Samsung,Apple,"['Reflectors are effective at night', 'You might see light reflect off of mist.']",B
a skunk produces a bad odor,"a couple sits on a meadow enjoying a nice picnic, when something runs by with a terrible smell. what could it be?",a raccoon wandering the meadows,a person with a great cologne,a little skunk going about its business,a scarecrow come to life,"['a skunk smells bad', 'skunks have bad odors']",C
a forest environment receives more rainfall than a desert,An plant that requires lots of watering would do better in,craters on Earth's moon,"a sandy, barren desert",a lush elm-filled area,a large expanse of frozen tundra,"['extra rainfall would increase how much water a plant receives', 'there is a lot of heat in a desert']",C
large fins can be used to move quickly through water,"In some fish, their fins may be used for",back pats,evenness,high-fives,magical spells,"['In some fish, their fins may be used for balance.', 'swordfish use its fins to move quickly through water']",B
if a tree falls then that tree is dead,A dead giant sequoia,turns into mistletoe,flies away,drops pine needles,falls down,"['a giant sequoia is a tree', 'leaves are dead things that fall from trees in the fall']",D
"when sound reaches the ear , that sound can be heard",Who can hear sounds?,boulders,giraffes,rocks,stone statues,"['ear plugs prevent sound from reaching the ear', 'sound vibrates']",B
shedding is when an animal loses hair,What would a polecat leave in a chair?,poles,poetry,hair,dusk,"['polecats are animals who shed', 'dalmatians have hair that can be shed']",C
an animal requires nutrients for survival,What requires nutrients for survival?,sand,plastic,metal,an anaconda,"['Nutrients are required for plants to live', 'Nutrients from food and water are needed in order for an organism to survive']",D
an animal requires nutrients to grow and heal,which of these would get bigger and recover from injuries better?,a child who eats thrice a day,a malnourished little child,a child who gets insufficient diet,a child who eats six times a week,"['injury is harm', 'Objects get bigger as you get closer']",A
a renewable resource can be replaced,"What will, for all intents and purposes, never run out?",gasoline,sunlight,coal,natural gas,"['Wind can be replaced', 'Air and water are renewable resources']",B
pasteurization reduces the amount of bacteria in milk,Pasteurization kills,mammary glands,illness causing agents,bottles,women,"['milk is pasteurized', 'pasteurization is done on milk']",B
a human requires rest to be healthy,Insomniacs are less healthy than other people because they,are in space,rarely slumber,sleep too much,fly away,"['Sleeping is healthy for humans.', 'sustenance is required for a healthy animal']",B
a human requires rest to be healthy,More sleep leads to,worst health,restlessness,insomnia,sense of well-being,"['Sleeping is healthy for humans.', 'Sleep is needed to be healthy']",D
coal mine is a source of coal under the ground,A coal miner would is most likely to get,wet,dirty,sunburned,windburned,"['coal is extracted by mining', 'Extracting coal is a form of mining.']",B
tapping two objects together causes the particles in those objects to vibrate,"When a stick is smashed across the side of an oak, their interiors, on a microscopic level,",enunciate,quake,mate,scream,"['a quaking on a microscopic level can be vibrating particles', 'smashing an object changes breaks it down']",B
"when the seasons change from the summer to the fall , the amount of daylight will decrease",In December around 3pm I will avoid using,time travel,planets,magic,sungoggles,"['the most daylight can be had in the season of Summer', 'June is in the summer, November is in the fall, the daylight decreases by hours']",D
